"Method","Timestamp","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26"
"Google Auth","7/13/2021 17:10:34","5","7","2","1","1","2","4","4","3","6","6","2","6","4","2","7","1","4","4","7","1","4","2","6","3","3"
"Google Auth","7/13/2021 17:51:27","6","7","5","1","2","1","2","1","2","5","6","2","6","5","3","6","1","6","2","6","1","7","1","3","3","4"
"Google Auth","7/13/2021 21:48:51","5","7","7","1","2","5","4","1","3","4","4","2","6","5","4","5","2","2","2","6","1","5","1","2","5","4"
"Google Auth","7/13/2021 22:22:10","3","5","4","2","4","4","5","6","2","3","2","4","7","4","2","3","4","4","4","2","3","4","2","5","4","5"
"Google Auth","7/13/2021 22:53:18","6","5","2","4","2","6","6","5","1","1","6","2","4","5","6","6","2","2","1","7","2","5","2","1","3","6"
"Google Auth","7/13/2021 23:49:02","6","7","6","1","2","3","3","1","1","7","1","1","7","1","1","7","1","6","1","7","1","7","7","6","2","1"
"Google Auth","7/14/2021 0:28:29","6","7","6","1","2","4","5","2","1","6","7","1","7","6","1","7","1","4","1","7","1","5","2","3","4","4"
"Google Auth","7/15/2021 17:00:39","5","7","5","1","4","3","2","7","1","6","6","2","7","3","1","6","4","5","2","6","1","7","1","3","5","1"
"Google Auth","7/15/2021 17:29:37","6","7","3","1","3","4","4","5","3","4","5","2","7","4","3","5","2","3","3","2","2","5","1","4","2","5"
"Google Auth","7/15/2021 17:56:55","2","5","7","6","6","3","2","5","3","5","2","5","4","3","1","4","6","7","1","2","3","2","3","6","7","2"
"Google Auth","7/15/2021 22:11:02","7","7","5","1","2","3","4","5","1","4","6","1","7","6","5","6","2","3","3","6","1","7","1","1","2","6"
"Google Auth","7/15/2021 22:34:49","6","7","4","1","2","3","5","6","1","4","6","1","7","6","3","7","2","3","2","6","2","6","2","2","2","4"
"Google Auth","7/15/2021 22:51:44","4","6","6","2","5","2","2","1","1","4","5","4","7","5","3","5","3","3","4","5","2","5","4","4","2","5"
"Google Auth","7/16/2021 12:26:45","5","7","2","1","1","4","5","2","1","2","6","2","6","5","6","6","1","2","2","7","1","6","3","2","2","7"
"Google Auth","7/16/2021 13:12:09","5","6","2","3","1","7","7","7","2","2","6","1","5","6","6","5","1","1","1","7","2","5","2","1","2","6"
"Google Auth","7/16/2021 14:53:19","5","7","3","1","3","5","5","5","2","6","6","2","7","6","6","6","2","3","1","5","2","6","1","2","3","6"
"Google Auth","7/16/2021 16:04:17","6","6","4","6","6","5","5","6","2","6","6","2","6","6","5","6","1","3","2","6","2","5","2","2","2","4"
"Google Auth","7/26/2021 22:47:59","5","6","6","2","2","2","3","1","3","6","5","2","6","5","2","5","1","5","2","6","1","6","2","2","3","2"
"Google Auth","8/8/2021 21:40:58","4","7","3","1","1","6","5","4","2","1","7","1","5","4","5","4","1","1","6","7","2","7","3","4","4","6"
"Google Auth","8/8/2021 22:06:29","7","7","4","1","1","4","4","1","1","4","7","1","7","6","4","7","1","1","1","7","1","7","1","1","1","5"
