"ID","Google 1","Google 2","Google 3","3D Auth 1","3D Auth 2","3D Auth 3","","GoogleAuth","","","3D Auth",""
"1","31.03","20.24","23.1","28.05","26.6","21.19","","Mittelwert:","21.601428571429","","Mittelwert:","24.145"
"2","17.46","33.37","17.28","34.04","27.43","21.82","","","","","",""
"3","24.05","20.59","18.29","35.09","31.87","29.06","","","","","",""
"4","36.47","19.88","22.31","28.32","30.77","21.55","","","","","",""
"5","31.28","18.23","18.2","24.41","22.31","27.29","","","","","",""
"6","23.69","45.32","30.92","28.89","27.55","28.7","","","","","",""
"7","13.47","13.38","14.9","19.61","19.4","15.61","","","","","",""
"8","20.23","14.72","19.46","28.85","21.39","21.16","","","","","",""
"9","24.2","23.71","21.23","28.04","35.48","29.58","","","","","",""
"10","23.5","17.54","16.27","20.09","22.76","18.66","","","","","",""
"11","21.23","16.7","29.24","26.8","25.8","18.68","","","","","",""
"12","37.45","17.85","13.26","31.12","24.25","20.61","","","","","",""
"13","23.03","21.62","30.29","19.56","30.82","28.53","","","","","",""
"14","21.4","20.19","29.66","33.69","30.55","24.83","","","","","",""
"15","13.58","16.82","12.89","18.98","17.73","14.61","","","","","",""
"16","18.83","14.24","15.13","16.59","18.44","13.27","","","","","",""
"17","17.14","18.3","18.03","26.7","28.31","21.98","","","","","",""
"18","16.33","19.14","22.99","17.99","17.47","13.02","","","","","",""
"19","10.06","8.11","7.37","22.19","21.19","18.57","","","","","",""
"20","18.15","15.06","14.97","25.88","23.45","21.52","","","","","",""
